track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity
Qual ï¿½ï¿½ o seu des,Qual ï¿½ï¿½ seu des,Tz da Coronel,2/29/24,BC2TS2400002,"1,244",42.4,"71,586,678","6,088","12,104,937",73
Jumpshot,Sunday,Dawin,7/29/16,USUM71606698,"3,976",21.4,"71,345,247","8,334","1,543,930",45
Maquillaje,Maquillaje - Single,Renn,1/10/24,QZZ662405291,"2,776",26.6,"71,320,813","6,751","23,980,309",76
Bertaraf,Sir,Canbay & Wolker,9/29/23,QZTPX2361588,"2,124",31.2,"71,190,581","7,887","3,440,542",70
Banco do Carona,Banco do Carona,Mc Don Juan,4/14/23,BRWMB2300660,"4,019",21.3,"71,078,859","9,468","8,189,292",60
MEGAVERSE,ROCK-STAR,Stray Kids,11/10/23,US5TA2300150,"3,426",23.4,"71,016,852","6,500","2,233,993",
Turn Yo Clic Up (feat. Future),Turn Yo Clic Up (feat. Future),Quavo,7/14/23,USUG12300051,"1,593",36.7,"70,868,414","32,989","17,684,550",57
XXL,EL CHAVO,UZI,9/9/22,FRX762205380,"3,962",21.4,"70,664,645","13,324","1,760,479",58
Sensational (feat. Davido & Lojay),Sensational (feat. Davido & Lojay) - Single,Chris Brown,10/20/23,USRC12302777,527,66.9,"70,652,012","20,841","15,882,127",
Baarish Ban Jaana,Baarish Ban Jaana,Payal Dev,6/3/21,INUM72100032,"2,202",30.5,"70,622,319","4,554","1,202,197",57
Go Hard,Go Hard - Single,Lil Baby,4/28/23,USUG12300031,"4,394",20,"70,601,620","32,101","23,637,848",60
I love you,I love you,Dadju,12/8/23,FR8FB2328300,"2,247",30.2,"70,592,513","10,432","9,086,026",63
SHAKE SUMN,CALL DA FIREMAN,DaBaby,5/5/23,USUM72306548,"3,343",23.7,"70,418,045","19,968","17,088,080",60
Skin and Bones,Skin and Bones,David Kushner,1/19/24,QZXDB2300047,"3,744",22.1,"70,354,552","9,185","8,922,438",
Needle (feat. Drake),Pink Friday 2,Nicki Minaj,12/8/23,USUM72318690,"2,982",25.5,"70,351,205","16,234","8,057,395",
Lace It,Lace It (with Eminem & benny blanco),Juice WRLD,12/16/23,USUG12303678,"2,023",32.1,"70,180,212","15,523","14,326,985",
Bartolito,20 GRANDES ï¿½ï¿½X,Duo Tiempo de Sol,10/5/15,ARF061500454,"1,082",46,"70,061,366","6,847","1,133,511",62
100 MESSAGGI,100 MESSAGGI,Lazza,2/27/24,ITUM72400349,"2,219",30.4,"69,972,816","5,282","6,183,983",73
girls like me don't cry,Girls Like Me Don't Cry,thï¿½ï,10/6/22,QZLBC2200766,260,96.2,"69,931,412","13,220","8,876,286",61
Brillarosa,Dolido Pero No Arrepentido - EP,Fuerza Regida,2/9/24,QZ9QQ2400124,"2,120",31.2,"69,834,726","3,512","8,863,236",
Supernova,Supernova,aespa,5/13/24,KRA302400090,63,186.1,"69,729,033","2,483","21,046,278",81
Young Metro,WE DON'T TRUST YOU,Future,3/22/24,USSM12402034,612,61.3,"69,705,399","13,782","24,255,616",
Lua,Lua (Boiadeira Internacional EP.4),Ana Castela,2/16/24,BKA7Y2400021,"3,042",25.1,"69,417,527","3,193","34,269,889",66
ýýýýýýýýý,ýýýýýýýýý,tuki.,9/29/23,JPW462364925,"3,050",25.1,"69,340,146","4,747","3,839,570",71
Tek Tek (feat. MHD),Tek Tek (feat. MHD),DYSTINCT,5/11/23,NL2BN2300036,"2,326",29.7,"69,208,147","30,635","5,622,603",59
Better Place (From TROLLS Band Together),Better Place (From TROLLS Band Together),*NSYNC,9/29/23,USRC12301385,"4,095",21,"69,041,864","10,118","7,035,846",
Amapiano,Amapiano,Asake,5/23/23,USUYG1489119,"3,701",22.3,"68,990,989","21,556","4,941,800",63
Kehribar,Kehribar - Single,Burak Bulut,9/29/23,DGA092378278,"1,761",34.7,"68,985,345","7,062","5,463,250",67
Looking For The Hoes (Ainï¿½ï¿½ï¿½t My ,Hood Hottest Princess,Sexyy Red,6/9/23,QZSYP2342088,"4,317",20.2,"68,965,021","11,956","10,611,984",70
Is It Love,Is It Love,Loreen,10/13/23,SEUM72301218,"2,252",30.1,"68,785,555","7,360","8,210,301",
Casanova,Casanova,Soolking,12/7/23,FRPZ92346900,"2,940",25.7,"68,705,759","12,259","10,918,400",73
Endless Fashion (feat. Nicki Minaj),Endless Fashion (feat. Nicki Minaj),Lil Uzi Vert,6/21/23,USAT22306857,"4,387",20,"68,598,656","27,448","5,932,034",59
We Don't Trust You,WE DON'T TRUST YOU,Future,3/22/24,USSM12402040,600,61.7,"68,542,565","13,345","6,655,318",
F.N.F. (Let's Go),F.N.F. (Let's Go) - Single,Hitkidd,5/3/22,QZRD92201643,"2,948",25.7,"68,460,285","16,340","2,772,856",54
Lihim,Lihim,Arthur Miguel,7/28/23,PHW012300230,"3,849",21.7,"68,411,628","4,215","13,721,864",65
Entra Na Defender,Entra Na Defender,Luan Pereira,3/21/24,BRRGE2400093,"2,064",31.8,"68,372,540","2,469","32,369,315",77
EMPELOTICA,EMPELOTICA,Lenny Tavï¿½ï¿,2/22/24,USWL12400540,"3,181",24.4,"68,349,764","7,210","31,014,133",8
Passinho Debochado,Passinho Debochado,Dan Ventura,7/30/21,QZMZ92162594,"4,384",20,"68,273,832","9,866","2,234,406",45
Bad Feeling (Oompa Loompa),Bad Feeling (Oompa Loompa),Jagwar Twin,12/15/23,QZ22S2300261,"1,653",36,"68,270,779","10,126","4,470,536",
You & Me (Coachella ver.),JENNIE Special Single [You & Me],JENNIE,10/6/23,KRA402300042,"3,223",24.2,"68,266,114","3,723","4,165,912",
Summertime Sadness (Sped Up),Summertime Sadness (Sped Up),Lana Del Rey,5/4/22,GBUM72206500,"2,613",27.6,"68,235,585","10,765","7,466,559",59
0800 HEAVEN,0800 HEAVEN - Single,Nathan Dawe,6/9/23,GBAHS2300402,"3,878",21.7,"68,189,858","14,429","12,456,842",61
Teri Aankhon Mein,Teri Aankhon Mein,Darshan Raval,10/7/20,INS182006492,"4,468",19.7,"68,139,013","6,814","1,406,482",54
Coladin,Indï¿½ï¿½,Zï¿½ï¿½ Vaqu,10/27/22,BCZZV2200032,"3,760",22.1,"68,110,254","5,563","9,739,787",62
Saving Up,Saving Up,Dom Dolla,10/6/23,USQX92305379,"3,516",23,"68,053,989","21,585","55,905,413",
The Chicken Wing Beat,The Chicken Wing Beat,Ricky Desktop,6/13/20,QZHN72010372,"2,842",26.2,"68,033,539","13,060","1,293,542",60
Illegal Weapon,Illegal Weapon,Garry Sandhu,9/25/17,FRX201706358,"2,224",30.3,"67,999,897","12,496","2,290,221",57
Sinceramente,E POI SIAMO FINITI NEL VORTICE,Annalisa,9/29/23,ITQ002301128,"4,204",20.6,"67,967,157","3,843","8,133,274",62
Pump,Pump,Valentino Khan,5/26/17,USZ4V1700087,"1,873",33.6,"67,890,975","26,030","3,848,842",42
Get A Guitar,Get A Guitar,RIIZE,9/4/23,KRA302300278,"3,485",23.1,"67,887,030","5,721","6,337,730",
Macetando,Macetando,Ivete Sangalo,12/15/23,BKS182300001,"1,575",36.9,"67,224,922","4,356","8,794,359",
LOST FOREVER,UTOPIA,Travis Scott,7/28/23,USSM12305017,"3,683",22.3,"66,878,719","33,290","3,109,142",62
Now And Then,Now And Then,The Beatles,11/2/23,GBUM72203947,"1,235",42.6,"66,843,778","23,455","13,808,666",
Wanna Be,Wanna Be (Alternate Versions),GloRilla,4/3/24,USUM72403374,433,74.1,"66,836,198","4,228","57,383,746",77
Great Gatsby,Nostalgia,Rod Wave,9/15/23,USQX92305201,982,48.7,"66,813,186","11,024","4,487,030",
Aynen,Hermano,Heijan,4/28/23,QZMZ92307983,"3,663",22.4,"66,701,855","12,381","2,302,824",57
Heyy,Heyy,Lil Baby,10/10/22,USUG12207229,"4,039",21.2,"66,617,153","34,503","4,137,767",51
BLEED,BLEED - Single,The Kid LAROI,11/3/23,USSM12300831,"3,824",21.8,"66,555,473","16,789","14,682,417",
Margiela,Margiela,Ezhel,10/26/23,QMFME2377602,"4,135",20.9,"66,553,836","11,570","1,999,209",
Last Time I Saw You,Last Time I Saw You,Nicki Minaj,9/1/23,USUM72312706,"3,818",21.9,"66,513,420","12,490","4,973,699",
Try That In A Small Town,Try That In A Small Town,Jason Aldean,5/19/23,QMRSZ2300454,793,54.5,"66,418,201","20,547","1,758,957",37
